domain,visit_count,outgoing_links
ace.wikipedia.org,1,596
af.wikipedia.org,1,697
als.wikipedia.org,1,272
am.wikipedia.org,1,561
an.wikipedia.org,1,692
ar.wikipedia.org,1,525
ary.wikipedia.org,1,634
arz.wikipedia.org,1,652
ast.wikipedia.org,1,468
az.wikipedia.org,1,374
azb.wikipedia.org,1,361
ba.wikipedia.org,1,301
ban.wikipedia.org,1,782
bar.wikipedia.org,1,155
bcl.wikipedia.org,1,320
be-tarask.wikipedia.org,1,284
be.wikipedia.org,1,294
bg.wikipedia.org,1,632
bjn.wikipedia.org,1,755
bn.wikipedia.org,1,589
books.toscrape.com,1,94
bpy.wikipedia.org,1,311
br.wikipedia.org,1,536
bs.wikipedia.org,1,343
ca.wikipedia.org,1,570
ce.wikipedia.org,1,323
ceb.wikipedia.org,1,226
creativecommons.org,1,133
cs.wikipedia.org,1,675
cv.wikipedia.org,1,302
cy.wikipedia.org,1,613
da.wikipedia.org,1,763
dag.wikipedia.org,1,504
de.wikipedia.org,1,324
el.wikipedia.org,1,545
eml.wikipedia.org,1,602
en.wikipedia.org,1,684
eo.wikipedia.org,1,669
es.wikipedia.org,1,447
et.wikipedia.org,1,622
eu.wikipedia.org,1,599
fa.wikipedia.org,1,596
fi.wikipedia.org,1,599
fr.wikipedia.org,1,638
gl.wikipedia.org,1,328
gor.wikipedia.org,1,532
ha.wikipedia.org,1,591
he.wikipedia.org,1,892
hi.wikipedia.org,1,840
hif.wikipedia.org,1,696
hr.wikipedia.org,1,556
hu.wikipedia.org,1,700
hy.wikipedia.org,1,619
hyw.wikipedia.org,1,542
id.wikipedia.org,1,650
it.wikipedia.org,1,540
ja.wikipedia.org,1,474
ka.wikipedia.org,1,605
kk.wikipedia.org,1,380
ko.wikipedia.org,1,358
la.wikipedia.org,1,687
lld.wikipedia.org,1,618
lt.wikipedia.org,1,301
lv.wikipedia.org,1,289
map-bms.wikipedia.org,1,644
mg.wikipedia.org,1,638
min.wikipedia.org,1,402
mk.wikipedia.org,1,535
mr.wikipedia.org,1,1006
ms.wikipedia.org,1,1002
my.wikipedia.org,1,511
nl.wikipedia.org,1,578
nn.wikipedia.org,1,595
no.wikipedia.org,1,554
nv.wikipedia.org,1,191
pl.wikipedia.org,1,361
pt.wikipedia.org,1,672
ro.wikipedia.org,1,779
ru.wikipedia.org,1,450
sh.wikipedia.org,1,643
simple.wikipedia.org,1,548
sk.wikipedia.org,1,600
sl.wikipedia.org,1,418
sq.wikipedia.org,1,606
sr.wikipedia.org,1,367
sv.wikipedia.org,1,655
sw.wikipedia.org,1,625
ta.wikipedia.org,1,668
te.wikipedia.org,1,606
tg.wikipedia.org,1,331
th.wikipedia.org,1,657
tr.wikipedia.org,1,622
tt.wikipedia.org,1,440
uk.wikipedia.org,1,437
ur.wikipedia.org,1,294
uz.wikipedia.org,1,372
vi.wikipedia.org,1,455
war.wikipedia.org,1,632
wikipedia.org,1,378
wikis.world,1,10
zh-min-nan.wikipedia.org,1,426
zh-yue.wikipedia.org,1,392
zh.wikipedia.org,1,661
